ar,ar_smoothed,eps,index
0.152542,0.176496,0.168819,471
0.15222,0.172966,0.168698,472
0.151899,0.169507,0.168578,473
0.151579,0.166116,0.168459,474
0.151261,0.162794,0.168341,475
0.150943,0.159538,0.168223,476
0.15272,0.176347,0.168106,477
0.152401,0.172821,0.167993,478
0.152083,0.169364,0.167881,479
0.153846,0.185977,0.167769,480
0.153527,0.182257,0.167661,481
0.153209,0.178612,0.167554,482
0.152893,0.17504,0.167447,483
0.152577,0.171539,0.167342,484
0.152263,0.168108,0.167237,485
0.151951,0.164746,0.167132,486
0.151639,0.161451,0.167028,487
0.151329,0.158222,0.166925,488
0.15102,0.155058,0.166823,489
0.150713,0.151957,0.166722,490
0.150407,0.148917,0.166621,491
0.150101,0.145939,0.166521,492
0.149798,0.14302,0.166421,493
0.149495,0.14016,0.166322,494
0.149194,0.137357,0.166224,495
0.148893,0.13461,0.166127,496
0.148594,0.131917,0.16603,497
0.148297,0.129279,0.165934,498
0.148,0.126693,0.165839,499
0.147705,0.12416,0.165744,500
0.14741,0.121676,0.16565,501
0.147117,0.119243,0.165557,502
0.146825,0.116858,0.165465,503
0.146535,0.114521,0.165373,504
0.148221,0.13223,0.165281,505
0.147929,0.129586,0.165193,506
0.147638,0.126994,0.165105,507
0.149312,0.144454,0.165018,508
0.14902,0.141565,0.164933,509
0.148728,0.138734,0.164849,510
0.148438,0.135959,0.164765,511
0.148148,0.13324,0.164682,512
0.14786,0.130575,0.1646,513
0.147573,0.127964,0.164518,514
0.147287,0.125404,0.164437,515
0.147002,0.122896,0.164357,516
0.146718,0.120438,0.164277,517
0.146435,0.11803,0.164197,518
0.146154,0.115669,0.164118,519
0.145873,0.113356,0.16404,520
0.145594,0.111089,0.163963,521
0.147228,0.128867,0.163885,522
0.146947,0.126289,0.163811,523
0.148571,0.143764,0.163736,524
0.148289,0.140888,0.163664,525
0.148008,0.138071,0.163592,526
0.147727,0.135309,0.163521,527
0.149338,0.152603,0.163451,528
0.149057,0.149551,0.163382,529
0.148776,0.14656,0.163314,530
0.148496,0.143629,0.163246,531
0.148218,0.140756,0.163179,532
0.14794,0.137941,0.163112,533
0.149533,0.155182,0.163046,534
0.149254,0.152079,0.162982,535
0.148976,0.149037,0.162918,536
0.148699,0.146056,0.162855,537
0.150278,0.163135,0.162792,538
0.151852,0.179872,0.162731,539
0.151571,0.176275,0.162671,540
0.151292,0.172749,0.162612,541
0.151013,0.169295,0.162554,542
0.152574,0.185909,0.162496,543
0.154128,0.20219,0.162439,544
0.153846,0.198147,0.162385,545
0.153565,0.194184,0.16233,546
0.153285,0.1903,0.162276,547
0.153005,0.186494,0.162222,548
0.152727,0.182764,0.162169,549
0.15245,0.179109,0.162116,550
0.152174,0.175527,0.162064,551
0.153707,0.192016,0.162012,552
0.15343,0.188176,0.161961,553
0.153153,0.184412,0.161911,554
0.152878,0.180724,0.161861,555
0.152603,0.17711,0.161811,556
0.15233,0.173567,0.161762,557
0.153846,0.190096,0.161713,558
0.153571,0.186294,0.161665,559
0.153298,0.182568,0.161618,560
0.153025,0.178917,0.161571,561
0.152753,0.175339,0.161525,562
0.152482,0.171832,0.161478,563
0.153982,0.188395,0.161432,564
0.15371,0.184627,0.161388,565
0.153439,0.180935,0.161344,566
0.153169,0.177316,0.1613,567
0.1529,0.17377,0.161256,568
0.152632,0.170294,0.161212,569
0.152364,0.166888,0.161169,570
0.152098,0.163551,0.161127,571
0.151832,0.16028,0.161084,572
0.151568,0.157074,0.161042,573
0.151304,0.153933,0.161,574
0.151042,0.150854,0.160959,575
0.15078,0.147837,0.160917,576
0.150519,0.14488,0.160876,577
0.151986,0.161982,0.160836,578
0.151724,0.158743,0.160796,579
0.151463,0.155568,0.160757,580
0.151203,0.152457,0.160718,581
0.150943,0.149407,0.160679,582
0.150685,0.146419,0.16064,583
0.152137,0.163491,0.160602,584
0.151877,0.160221,0.160565,585
0.151618,0.157017,0.160528,586
0.151361,0.153876,0.160492,587
0.152801,0.170799,0.160455,588
0.152542,0.167383,0.16042,589
0.152284,0.164035,0.160385,590
0.152027,0.160754,0.16035,591
0.153457,0.177539,0.160315,592
0.153199,0.173989,0.160282,593
0.152941,0.170509,0.160248,594
0.152685,0.167099,0.160215,595
0.152429,0.163757,0.160182,596
0.152174,0.160482,0.16015,597
0.15192,0.157272,0.160117,598
0.151667,0.154126,0.160085,599
0.151414,0.151044,0.160053,600
0.151163,0.148023,0.160021,601
0.150912,0.145063,0.159989,602
0.150662,0.142161,0.159958,603
0.150413,0.139318,0.159927,604
0.150165,0.136532,0.159896,605
0.149918,0.133801,0.159866,606
0.149671,0.131125,0.159835,607
0.149425,0.128503,0.159805,608
0.14918,0.125933,0.159775,609
0.148936,0.123414,0.159745,610
0.148693,0.120946,0.159716,611
0.14845,0.118527,0.159686,612
0.148208,0.116156,0.159657,613
0.147967,0.113833,0.159628,614
0.147727,0.111556,0.1596,615
0.149109,0.129325,0.159571,616
0.148867,0.126739,0.159543,617
0.148627,0.124204,0.159516,618
0.148387,0.12172,0.159488,619
0.149758,0.139286,0.159461,620
0.149518,0.1365,0.159435,621
0.150883,0.15377,0.159409,622
0.150641,0.150694,0.159383,623
0.152,0.167681,0.159358,624
0.151757,0.164327,0.159333,625
0.151515,0.16104,0.159309,626
0.151274,0.15782,0.159284,627
0.151033,0.154663,0.15926,628
0.150794,0.15157,0.159236,629
0.150555,0.148539,0.159212,630
0.150316,0.145568,0.159189,631
0.150079,0.142656,0.159165,632
0.149842,0.139803,0.159142,633
0.149606,0.137007,0.159119,634
0.149371,0.134267,0.159096,635
0.149137,0.131582,0.159073,636
0.15047,0.14895,0.15905,637
0.150235,0.145971,0.159028,638
0.15,0.143052,0.159007,639
0.149766,0.140191,0.158985,640
0.149533,0.137387,0.158963,641
0.1493,0.134639,0.158942,642
0.149068,0.131946,0.158921,643
0.148837,0.129307,0.1589,644
0.150155,0.146721,0.158879,645
0.149923,0.143787,0.158858,646
0.149691,0.140911,0.158838,647
0.149461,0.138093,0.158818,648
0.149231,0.135331,0.158798,649
0.149002,0.132624,0.158778,650
0.148773,0.129972,0.158759,651
0.148545,0.127372,0.158739,652
0.148318,0.124825,0.15872,653
0.148092,0.122328,0.158701,654
0.147866,0.119882,0.158682,655
0.147641,0.117484,0.158663,656
0.148936,0.135135,0.158644,657
0.14871,0.132432,0.158626,658
0.148485,0.129783,0.158607,659
0.14826,0.127188,0.158589,660
0.149547,0.144644,0.158572,661
0.149321,0.141751,0.158554,662
0.149096,0.138916,0.158537,663
0.150376,0.156138,0.15852,664
0.15015,0.153015,0.158503,665
0.149925,0.149955,0.158486,666
0.149701,0.146955,0.15847,667
0.149477,0.144016,0.158453,668
0.149254,0.141136,0.158437,669
0.149031,0.138313,0.158421,670
0.14881,0.135547,0.158405,671
0.148588,0.132836,0.158389,672
0.149852,0.150179,0.158373,673
0.14963,0.147176,0.158358,674
0.149408,0.144232,0.158343,675
0.149188,0.141348,0.158327,676
0.148968,0.138521,0.158312,677
0.150221,0.15575,0.158297,678
0.151471,0.172635,0.158283,679
0.151248,0.169183,0.158269,680
0.151026,0.165799,0.158255,681
0.150805,0.162483,0.158241,682
0.150585,0.159233,0.158227,683
0.150365,0.156049,0.158213,684
0.150146,0.152928,0.158199,685
0.149927,0.149869,0.158186,686
0.149709,0.146872,0.158172,687
0.149492,0.143934,0.158159,688
0.149275,0.141056,0.158145,689
0.149059,0.138234,0.158132,690
0.148844,0.13547,0.158119,691
0.148629,0.13276,0.158106,692
0.148415,0.130105,0.158093,693
0.148201,0.127503,0.158081,694
0.147989,0.124953,0.158068,695
0.147776,0.122454,0.158055,696
0.147564,0.120005,0.158043,697
0.147353,0.117605,0.15803,698
0.147143,0.115253,0.158018,699
0.146933,0.112948,0.158006,700
0.148148,0.130689,0.157994,701
0.147937,0.128075,0.157982,702
0.147727,0.125513,0.15797,703
0.147518,0.123003,0.157959,704
0.147309,0.120543,0.157947,705
0.148515,0.138132,0.157936,706
0.148305,0.13537,0.157924,707
0.149506,0.152662,0.157913,708
0.149296,0.149609,0.157903,709
0.150492,0.166617,0.157892,710
0.150281,0.163284,0.157881,711
0.15007,0.160019,0.157871,712
0.151261,0.176818,0.157861,713
0.151049,0.173282,0.15785,714
0.150838,0.169816,0.15784,715
0.150628,0.16642,0.15783,716
0.150418,0.163092,0.157821,717
0.150209,0.15983,0.157811,718
0.151389,0.176633,0.157801,719
0.151179,0.173101,0.157792,720
0.15097,0.169639,0.157782,721
0.150761,0.166246,0.157773,722
0.150552,0.162921,0.157764,723
0.150345,0.159662,0.157754,724
0.150138,0.156469,0.157745,725
0.149931,0.15334,0.157736,726
0.149725,0.150273,0.157727,727
0.14952,0.147268,0.157718,728
0.149315,0.144322,0.157709,729
0.150479,0.161436,0.157701,730
0.150273,0.158207,0.157692,731
0.150068,0.155043,0.157684,732
0.149864,0.151942,0.157675,733
0.14966,0.148903,0.157667,734
0.149457,0.145925,0.157658,735
0.149254,0.143007,0.15765,736
0.149051,0.140146,0.157642,737
0.150203,0.157344,0.157634,738
0.15,0.154197,0.157626,739
0.149798,0.151113,0.157618,740
0.149596,0.14809,0.15761,741
0.149394,0.145129,0.157602,742
0.149194,0.142226,0.157595,743
0.148993,0.139382,0.157587,744
0.148794,0.136594,0.15758,745
0.149933,0.153862,0.157572,746
0.149733,0.150785,0.157565,747
0.149533,0.147769,0.157557,748
0.149333,0.144814,0.15755,749
0.149134,0.141917,0.157543,750
0.148936,0.139079,0.157536,751
0.148738,0.136298,0.157529,752
0.148541,0.133572,0.157522,753
0.148344,0.1309,0.157515,754
0.148148,0.128282,0.157508,755
0.147952,0.125717,0.157501,756
0.147757,0.123202,0.157494,757
0.147563,0.120738,0.157488,758
0.147368,0.118323,0.157481,759
0.147175,0.115957,0.157474,760
0.146982,0.113638,0.157468,761
0.1481,0.131365,0.157461,762
0.147906,0.128738,0.157455,763
0.147712,0.126163,0.157448,764
0.14752,0.12364,0.157442,765
0.147327,0.121167,0.157436,766
0.147135,0.118744,0.15743,767
0.146944,0.116369,0.157424,768
0.146753,0.114041,0.157417,769
0.146563,0.111761,0.157411,770
0.146373,0.109525,0.157405,771
0.146184,0.107335,0.157399,772
0.145995,0.105188,0.157394,773
0.145806,0.103084,0.157388,774
0.145619,0.101023,0.157382,775
0.145431,0.0990022,0.157376,776
0.145244,0.0970221,0.15737,777
0.145058,0.0950817,0.157365,778
0.144872,0.0931801,0.157359,779
0.144686,0.0913165,0.157354,780
0.144501,0.0894901,0.157348,781
0.144317,0.0877003,0.157343,782
0.144133,0.0859463,0.157337,783
0.143949,0.0842274,0.157332,784
0.143766,0.0825429,0.157326,785
0.143583,0.080892,0.157321,786
0.143401,0.0792742,0.157316,787
0.143219,0.0776887,0.15731,788
0.143038,0.0761349,0.157305,789
0.142857,0.0746122,0.1573,790
0.142677,0.07312,0.157295,791
0.142497,0.0716576,0.15729,792
0.142317,0.0702244,0.157285,793
0.142138,0.0688199,0.15728,794
0.143216,0.0874435,0.157275,795
0.143036,0.0856947,0.15727,796
0.142857,0.0839808,0.157265,797
0.142678,0.0823011,0.157261,798
0.1425,0.0806551,0.157256,799
0.142322,0.079042,0.157251,800
0.142145,0.0774612,0.157247,801
0.141968,0.075912,0.157242,802
0.141791,0.0743937,0.157237,803
0.141615,0.0729058,0.157233,804
0.141439,0.0714477,0.157228,805
0.141264,0.0700188,0.157224,806
0.141089,0.0686184,0.157219,807
0.140915,0.067246,0.157215,808
0.140741,0.0659011,0.157211,809
0.140567,0.0645831,0.157206,810
0.140394,0.0632914,0.157202,811
0.140221,0.0620256,0.157198,812
