state	C__sierra_leone	R0__sierra_leone	phi__sierra_leone	rho__sierra_leone
13597	68.3453	1.51904	0.304123	0.559022
13598	115.88	1.41969	0.223029	0.433867
13599	96.8286	1.48689	0.272931	0.477496
13600	131.432	1.40491	0.230444	0.364045
13601	131.432	1.40491	0.230444	0.364045
13602	143.702	1.32688	0.263871	0.397213
13603	101.277	1.38103	0.230299	0.493844
13604	73.1954	1.40773	0.126816	0.617923
13605	89.801	1.34676	0.215227	0.527053
13606	90.5028	1.36934	0.265128	0.496779
13607	81.1402	1.36841	0.244776	0.545045
13608	94.7218	1.30435	0.240036	0.564815
13609	94.7218	1.30435	0.240036	0.564815
13610	94.7846	1.28481	0.296013	0.560896
13611	94.8805	1.28735	0.12732	0.560923
13612	96.151	1.33804	0.178969	0.458316
13613	96.151	1.33804	0.178969	0.458316
13614	62.7735	1.3486	0.192473	0.699568
13615	85.0691	1.34516	0.161563	0.685745
13616	119.621	1.37774	0.112387	0.425988
13617	119.109	1.36423	0.192293	0.389098
13618	124.661	1.3946	0.280857	0.371471
13619	61.9263	1.35696	0.306021	0.7548
13620	61.6876	1.38416	0.215111	0.795867
13621	63.7442	1.41063	0.270146	0.723463
13622	110.462	1.36502	0.18781	0.459571
13623	110.462	1.36502	0.18781	0.459571
13624	87.0557	1.34264	0.173089	0.630741
13625	72.3335	1.37263	0.169329	0.655874
13626	84.0414	1.34606	0.138264	0.609524
13627	84.0414	1.34606	0.138264	0.609524
13628	84.0414	1.34606	0.138264	0.609524
13629	84.0414	1.34606	0.138264	0.609524
13630	84.0414	1.34606	0.138264	0.609524
13631	99.5558	1.33987	0.143333	0.522449
13632	99.5558	1.33987	0.143333	0.522449
13633	99.5558	1.33987	0.143333	0.522449
13634	100.553	1.36802	0.162735	0.510573
13635	110.381	1.35631	0.12187	0.488647
13636	133.805	1.33908	0.180679	0.455169
13637	133.805	1.33908	0.180679	0.455169
13638	151.709	1.27395	0.206336	0.433858
13639	151.709	1.27395	0.206336	0.433858
